job_id,model,ranks,base_jct_s,target_jct_s,jct_delta_s,jct_gain_pct,base_comm_s,target_comm_s,comm_delta_s,comm_gain_pct,base_placement,target_placement
8,unknown-8gpu,8,27.897241,29.344046,1.446805,-5.186194,19.276378,14.394591,-4.881787,25.325230,6:0;6:3;7:2;0:1;1:0;1:3;2:2;3:1,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
0,unknown-mid,8,47.959657,49.161088,1.201431,-2.505087,27.197728,22.174668,-5.023060,18.468675,0:0;0:3;1:2;2:1;3:0;3:3;4:2;5:1,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
5,unknown-small,2,22.431542,22.093563,-0.337979,1.506713,0.910459,0.535693,-0.374766,41.162315,0:3;1:2,6:2;7:2
11,unknown-8gpu,8,15.260007,10.894196,-4.365811,28.609495,8.101660,5.300624,-2.801036,34.573606,3:1;4:0;4:3;5:2;6:1;7:0;7:3;0:2,0:0;0:1;0:2;0:3;1:0;1:1;1:2;1:3
10,unknown-large,8,61.887466,57.025969,-4.861497,7.855382,24.881866,26.261509,1.379643,-5.544773,1:2;2:1;3:0;3:3;4:2;5:1;6:0;6:3,0:2;1:2;4:3;5:3;2:3;3:3;0:3;1:3
3,unknown-8gpu,8,35.715997,29.376285,-6.339712,17.750343,24.542228,12.917447,-11.624781,47.366445,5:1;6:0;6:3;7:2;0:1;1:0;1:3;2:2,2:1;3:1;0:1;1:1;4:2;5:2;2:2;3:2
1,unknown-large,8,90.441789,83.170629,-7.271160,8.039602,51.572384,41.011895,-10.560489,20.477023,1:3;2:2;3:1;4:0;4:3;5:2;6:1;7:0,6:1;7:1;4:0;5:0;2:2;3:2;0:0;1:0
9,unknown-mid,8,54.543244,42.888323,-11.654921,21.368221,33.110244,26.491164,-6.619080,19.991034,7:3;0:2;1:1;2:0;2:3;3:2;4:1;5:0,4:0;5:0;2:0;3:0;0:0;1:0;4:1;5:1
6,GPT,8,44.239935,31.868977,-12.370958,27.963328,31.837567,22.192569,-9.644998,30.294394,2:2;3:1;4:0;4:3;5:2;6:1;7:0;7:3,2:0;2:1;2:2;2:3;3:0;3:1;3:2;3:3
7,GPT,8,45.104270,32.160348,-12.943922,28.697775,35.355559,21.407215,-13.948344,39.451629,4:1;5:0;5:3;6:2;7:1;0:0;0:3;1:2,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3
2,unknown-large,8,95.304878,80.426659,-14.878219,15.611183,61.548460,40.625836,-20.922624,33.993741,3:2;4:1;5:0;5:3;6:2;7:1;0:0;0:3,6:0;7:0;4:2;5:2;2:1;3:1;0:1;1:1
4,GPT-large,8,94.635182,71.230833,-23.404349,24.731129,61.307944,32.169551,-29.138393,47.527924,7:0;7:3;0:2;1:1;2:0;2:3;3:2;4:1,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
