job_id,trace_job_name,model,start_s,duration_s,ranks,compute_s,tensor_gib,hosts
0,dlck8ctmskpigq3o,unknown-8gpu,0.0,120.0,8,0.884145,2.316204,6
1,dlclcb75wehxjygo,GPT-large,0.0,420.0,8,2.539002,9.572436,7;3;3;0
2,dlc1f0zjestt56by,unknown-large,1.0,360.0,8,2.291945,7.892551,5;3;4;6
3,dlc1cj603ovojfxi,GPT-large,2.0,300.0,8,2.885321,10.007436,3;6;0;5;0;2
4,dlc1k0wg04l89nq1,unknown-8gpu,2.0,480.0,8,0.858375,2.384075,3
5,dlc1qymakk9asbxt,unknown-large,2.0,420.0,8,2.185516,7.67257,2;2;0;5
6,dlc9eu29wccv1hi2,unknown-large,3.0,8880.0,8,2.266512,8.261482,7;4;1;2
7,dlc1id0a9w38elhg,unknown-8gpu,6.0,1140.0,8,0.866142,2.333577,6
8,dlc1nws5xggcw5ms,GPT,6.0,96600.0,6,4.076292,6.059671,0
9,dlc1hj2wp0r3aaqg,unknown-large,10.0,780.0,8,2.53943,7.917344,5;3;6;4;6
10,dlcjei96sr3genvn,unknown-8gpu,12.0,180.0,8,0.942863,2.29118,2
11,dlc115s9okcywt2x,GPT,13.0,60.0,8,1.608152,5.677973,5;6
12,dlciala84vfp45f7,GPT-large,17.0,5640.0,8,2.91136,9.617792,3;6;0;5;0;2
13,dlc17tlc045oygmm,unknown-large,22.0,420.0,8,2.240012,8.252901,4;6;7;5
14,dlc18nlipwcr0jhe,unknown-8gpu,27.0,68640.0,8,1.845792,2.419584,6
15,dlc11fxhc4pa2hu8,GPT-large,30.0,420.0,8,2.535996,9.872398,0;3;3;0
16,dlcto8umc4y51e2k,unknown-large,30.0,300.0,8,2.294654,7.650231,5;3;4;6
17,dlc1b5koas97o0fc,unknown-large,35.0,8460.0,8,2.183174,7.764767,3;7;1;3
18,dlcbx1n9gvxav5bp,unknown-large,38.0,60.0,8,2.324949,7.942074,2;6;7;5
19,dlc1o72zus2swpgt,unknown-large,40.0,60.0,8,2.241306,8.068449,5;3;6;4
20,dlc1dihaczdmcv4h,GPT-large,41.0,60.0,8,2.48954,9.799767,1;7;3;1
21,dlc818qh09xmwbfs,unknown-large,41.0,9360.0,8,3.323798,8.159196,7;1;5;3;3;3;0;2
22,dlc6nark4k2jszt3,unknown-large,42.0,840.0,8,2.225308,8.059539,4;0;7;5
23,dlcsaf3es7sm0ny7,GPT-large,43.0,240.0,8,2.507552,10.375137,0;3;0;5
24,dlc1nd5m9w8wv6wb,unknown-small,44.0,120.0,2,0.652127,0.978794,5
25,dlc1mj6u4kq0waq8,unknown-8gpu,45.0,60.0,8,0.943216,2.308336,4
26,dlc5jdslgm38lq3w,unknown-large,46.0,60.0,8,2.265051,8.205713,5;3;6;6
27,dlcus8mpwdxzfjaw,unknown-large,48.0,360.0,8,3.344413,7.99117,4;7;1;0;5;5;2;5;3
28,dlctm3no1ng9qhbl,GPT-large,50.0,360.0,8,2.385994,10.168216,7;3;1;3
29,dlcr6jj0kawzh4f0,unknown-large,51.0,360.0,8,2.344171,8.058421,5;3;6;4
30,dlc1ygs6pwpr776m,unknown-mid,54.0,360.0,8,1.431816,4.121774,6;7
31,dlcikxipwipu6488,unknown-large,55.0,8880.0,8,2.328351,8.075496,4;6;7;5
32,dlcy4as5g745seb5,unknown-8gpu,56.0,28800.0,8,0.907191,2.389489,3
33,dlc1ddog789ekke9,unknown-large,57.0,480.0,8,2.36139,8.355745,4;0;6;3
34,dlc1ingqh0j7dxfn,GPT-large,57.0,300.0,8,2.494771,10.164152,0;3;0;5
35,dlc1z0ss1wmi89so,unknown-large,58.0,60.0,8,2.183418,8.161194,5;3;4;6
36,dlc10c8xs4vbe7fr,unknown-large,60.0,120.0,8,2.077625,8.394477,2;7;2
37,dlcd18g7822o7wqb,unknown-small,62.0,60.0,2,0.658023,0.97846,5
38,dlcez5lvoj9hspcn,unknown-large,63.0,120.0,8,2.724771,8.134922,1;6;1;3;5;3
39,dlch72cxwpb90x4b,GPT-large,63.0,60.0,8,2.381831,9.961695,1;7;3;3
40,dlc1fbof0kimtrct,unknown-large,66.0,6600.0,8,2.207941,7.693677,0;1;3;5
41,dlc1vz01z85uudk6,unknown-large,66.0,120.0,8,2.183026,8.214586,5;3;6;4
42,dlc3bo2dgu8vu495,unknown-large,67.0,60.0,8,3.336566,7.798092,4;4;2;7;1;0;5;5;2
43,dlc6xisckr1nd3g1,unknown-8gpu,67.0,180.0,8,0.890185,2.489141,5
44,dlcg35dz8ttrcyuv,GPT-large,68.0,480.0,8,2.396343,9.949187,7;3;1;3
45,dlc1yqxedg5myyij,unknown-large,71.0,2280.0,8,3.719549,8.306707,1;6;2;1;7;3;7;5;2;3
46,dlcp8te6cv019e55,unknown-large,72.0,60.0,8,2.356666,8.291188,5;3;4;6
47,dlcqcrrpgxrlnr64,unknown-8gpu,72.0,180.0,8,0.880058,2.379671,3
