round,scheduler,gpu_util,avg_iter_time,avg_comm_time,high_intensity_jct,low_intensity_jct
0,random_same,0.6206802396894073,1.8790447043954548,0.7320074589517434,0.8775836983673081,2.7976716189489967
0,random_intensity,0.6281196312030524,1.8542392947195576,0.7072020492758462,0.8745726081279017,2.8876800652806924
0,crux_no_compress,0.6216011897133622,1.8856767624115978,0.7386395169678863,0.8749226755173876,2.9751772260179496
0,crux,0.6205841773878079,1.8863086077564506,0.739271362312739,0.8795594646642948,2.9535779718149806
1,random_same,0.4575163868597101,3.2030070080342683,1.8807651458824417,0.8787383328169542,2.8970767937943562
1,random_intensity,0.4600484530683027,3.2271007477244824,1.9048588855726556,0.8770041124126955,3.503946753246999
1,crux_no_compress,0.4490394997939894,3.6894891929719105,2.3672473308200837,0.8756987393272568,5.548501783269014
1,crux,0.45473066797317296,3.3316939110875894,2.009452048935763,0.8785590852996873,3.813971877419483
2,random_same,0.5655282477677205,2.149009109067635,0.9729544336850687,1.0363628010702328,3.3880936155077097
2,random_intensity,0.5768070015601866,2.109734234476095,0.9336795590935285,0.9934968232058602,3.5236713643581044
2,crux_no_compress,0.5574809474623518,2.3560833208190766,1.1800286454365105,0.972004245701666,4.234947359555448
2,crux,0.568097079990976,2.166269784677835,0.9902151092952687,0.9926397258207406,3.5634611543746506
3,random_same,0.4012480696969127,3.773902302608048,2.401658406076754,1.8478824598715256,5.606926577856175
3,random_intensity,0.4101187931909749,3.757987664065205,2.3857437675339104,1.6196233384156413,6.306091577321957
3,crux_no_compress,0.40266735218909816,4.128879099353495,2.7566352028222,1.7207527696659723,7.606279971145121
3,crux,0.3989013586615884,3.9032067667539403,2.5309628702226457,1.7539866123123045,6.348567618675188
4,random_same,0.5164210595880391,2.546162242666082,1.2967865799318392,0.8786728857275666,3.6871526694962116
4,random_intensity,0.5147501824794851,2.601855532737715,1.3524798700034721,0.8777412466226683,4.094854073227602
4,crux_no_compress,0.5053415718403753,2.8828105683161303,1.6334349055818873,0.8768100519622143,5.281478213494953
4,crux,0.5092620160706142,2.6419318814256356,1.3925562186913931,0.8778968901771885,4.099828613909454
5,random_same,0.4414264057970522,3.3321444444482102,1.9633224552270165,0.8974779623915523,3.1514943596833267
5,random_intensity,0.44896923369938496,3.302433876634044,1.9336118874128503,0.8971870889566241,3.4077975588138214
5,crux_no_compress,0.42813784863098137,3.809893201623491,2.4410712124022975,0.8989471459569958,4.760466321158556
5,crux,0.4439432910092122,3.3589974063110506,1.990175417089857,0.8993984349880597,3.217671355831021
6,random_same,0.4007281071858694,4.0187379150559766,2.6041858486451916,2.055208735555051,5.391264303547778
6,random_intensity,0.4007537106458784,4.188934528118693,2.7743824617079085,1.8744068466290842,6.686343484633228
6,crux_no_compress,0.38589169618044156,4.387844262320616,2.973292195909831,1.94307835776638,6.525326220694011
6,crux,0.39478181359707265,4.161750659362074,2.7471985929512885,1.9994784037641167,5.990026591310215
7,random_same,0.4986855666872544,2.708927974469782,1.4033954294489146,2.2227814610511527,2.541165830928407
7,random_intensity,0.501956049675893,2.6980226211563627,1.392490076135496,2.0387401267949743,2.901264470351961
7,crux_no_compress,0.4697200741945828,3.0813982257587704,1.7758656807379034,2.216227601567364,4.137154316010591
7,crux,0.49051779789648314,2.763062266326198,1.457529721305331,2.2027319019623333,2.803454824742541
8,random_same,0.4614432983066443,2.995004843108547,1.7596030915225018,0.8791211056504569,3.9468273510045724
8,random_intensity,0.46887821659489015,2.9240174208789083,1.688615669292863,0.87636531552298,4.263022668201858
8,crux_no_compress,0.4699524093874068,3.1727019631644073,1.937300211578362,0.874406514427278,5.13109262482774
8,crux,0.46144990503070615,3.0181352635812644,1.7827335119952188,0.8791211056504569,4.3040691604624595
9,random_same,0.5263746166868178,2.5750804918373285,1.320192123772687,0.8986590372751248,4.322487163727569
9,random_intensity,0.5265231676725081,2.6377683941521504,1.382880026087509,0.8960192063429389,4.85519336680839
9,crux_no_compress,0.5110565317421878,2.8072593642371326,1.552370996172491,0.8943326434809232,5.578347646211974
9,crux,0.5251674419271934,2.6532783288456008,1.3983899607809593,0.8947269488365904,4.866406898791921
10,random_same,0.44600091825910815,3.400012192278276,2.1226419438415247,0.872990812356711,4.775161877716673
10,random_intensity,0.45070144473929036,3.3859001761179304,2.1085299276811793,0.8724456354194803,5.2788906078521585
10,crux_no_compress,0.42924063987778455,3.6597275314497093,2.3823572830129582,0.8733619785373206,6.128851491570329
10,crux,0.44183391471036404,3.5678225964138663,2.290452347977115,0.8718381576386091,5.483301747710065
11,random_same,0.50476414886926,2.603443851619785,1.415760453789163,0.8470761751998166,5.26992978696407
11,random_intensity,0.5093305955937533,2.579064089182815,1.391380691352193,0.8468233611936353,5.555950708146362
11,crux_no_compress,0.4932441934037503,2.767264900981134,1.5795815031505123,0.8461335359456789,6.032623588210395
11,crux,0.5039686733677182,2.61025590047874,1.4225725026481182,0.8469680332611027,5.393913539252872
12,random_same,0.42056781768569995,3.5640711312436357,2.2145189167998893,0.8734815388380851,5.444997348984065
12,random_intensity,0.42158785984160874,3.627580221957321,2.2780280075135746,0.8719348078979914,6.288919061218434
12,crux_no_compress,0.4047937948332037,3.969070394290676,2.61951817984693,0.8682343451253817,7.233746809003511
12,crux,0.4164545435815245,3.6955143076937924,2.345962093250046,0.8692742779591444,6.16271860092808
13,random_same,0.4677794014246448,2.955303903931948,1.67577560604335,1.0113193616378406,3.4062617551299974
13,random_intensity,0.4687987545203751,3.00481181337622,1.7252835154876216,0.9729242750906026,3.939021387941942
13,crux_no_compress,0.4607080341564529,3.1570605274301196,1.8775322295415215,0.9617840243261021,4.385398152706012
13,crux,0.4596734324262033,3.119226076673802,1.8396977787852038,0.9765421619316937,4.095510255269088
14,random_same,0.6137140088386845,2.0175983675316913,0.8636704862238384,0.8755671306432126,3.2083148854865344
14,random_intensity,0.6143732522222982,2.0134207606003454,0.8594928792924921,0.874468185529724,3.378571610218495
14,crux_no_compress,0.6063012720324907,2.109587490914595,0.9556596096067418,0.8758153127219955,3.792117033385255
14,crux,0.6186360957938162,1.9785833620081812,0.8246554807003281,0.8751004774137325,3.260307260739947
15,random_same,0.38817412775620375,4.133127778354339,2.7253055534717507,2.351589187761593,2.768305460252749
15,random_intensity,0.39529378775293533,4.034902095383622,2.6270798705010336,2.0642692401145886,3.2622845721157705
15,crux_no_compress,0.38884504872053544,4.49282052883127,3.084998303948682,2.227281070107218,4.729087216150391
15,crux,0.38455311285440813,4.1869074883339605,2.779085263451372,2.274664477435386,3.2068352612670235
16,random_same,0.41643253271110087,4.127555939232391,2.7799949930769148,0.9539038296299356,6.188542987118588
16,random_intensity,0.42472107742223286,3.9390078437776146,2.5914468976221383,0.9492576680714048,6.455083522537945
16,crux_no_compress,0.41161346006131744,4.2911093098427715,2.943548363687295,0.9528570853079062,7.189443352119893
16,crux,0.4165540196714651,4.190089734509585,2.8425287883541084,0.9532581692951242,6.835096231562584
17,random_same,0.4951646740667979,2.8158913355047757,1.5635793504893405,0.9217523514934773,4.889571856937941
17,random_intensity,0.4994123955279741,2.8453119590475087,1.5929999740320733,0.9096673920779274,5.342930390910379
17,crux_no_compress,0.49503404363757464,2.8407379730830864,1.5884259880676508,0.9078370240848799,5.42679898992537
17,crux,0.5042407927799293,2.772026973817437,1.5197149888020014,0.916185893102869,5.097583419652378
18,random_same,0.49316093985567333,2.744516772544786,1.4977872760388822,0.8908751908233149,4.365106194881382
18,random_intensity,0.4859529722912275,2.8587375896748366,1.6120080931689327,0.8908769686010926,5.0406406164385995
18,crux_no_compress,0.47256335837286134,3.1273430948343552,1.8806135983284515,0.8918716647966324,5.845278919378183
18,crux,0.4880466675935302,2.839535141678817,1.592805645172913,0.892495720206999,4.910720085000311
19,random_same,0.4563428255662911,3.1252269684367158,1.8149776061004828,0.8766753751530968,4.544541696710116
19,random_intensity,0.4615864733404304,3.102710632015768,1.7924612696795348,0.8766753751530968,5.035985961952877
19,crux_no_compress,0.45598137991928855,3.2998297730299773,1.9895804106937445,0.8728205434527534,5.427593524850927
19,crux,0.45608775423392744,3.1586099123833713,1.8483605500471383,0.8753318420777125,5.04627311546119
